	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:- | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:-;lateral:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;strident:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɸ				1/4	0.18516282053297708
	3/3	2/3	2/3	2/3
	1.0	0.6573809037054493	0.8666613508683059	0.8671695102211161
