	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β				1/4	0.34974051404148926
periodicGlottalSource:-		s	ʃ	ʂ	3/4	0.7780863192590564
	1/2	1/2	1/2	1/2
	0.33745490270910106	0.7941949965540165	0.7783204924998441	0.7702263982354158
