	labial:+;coronal:-;lateral:-;strident:0;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	ɮ	z		3/4	0.7459550831278469
periodicGlottalSource:-	f	ɬ	s	x	4/4	1.0
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.7047720672108528
