	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z	ʒ	ɣ	4/4	1.0
periodicGlottalSource:-		s	ʃ	x	3/4	0.8184905871485952
	1/2	2/2	2/2	2/2
	0.33747892892306774	1.0	1.0	1.0
