name,name_glotto,glottocode
Tiv_Tivoid,Tiv,tivv1240
Aghem_Grassfields,Aghem,aghe1239
Bamun_Grassfields,Bamun,bamu1253
Fefe_Grassfields,Fe'fe',fefe1239
Kom_Grassfields,Kom (Cameroon),komc1235
Moghamo_Grassfields,Meta',meta1238
Mungaka_Grassfields,Mungaka,mung1266
Njen_Grassfields,Njen,njen1238
Oku_Grassfields,Oku (Cameroon),okuu1243
A51_Bafia_maja,Bafia,bafi1243
A53_Bafia_rikpa,Bafia,bafi1243
A54_Tibea,Tibea,tibe1274
Bile_Jarawan,Bile,bile1244
Bwazza_Jarawan,Mbula-Bwazza,mbul1260
Duguri_Jarawan,Duguri,dugu1249
Kulung_Jarawan,Kulung (Nigeria),kulu1255
Mbula_Jarawan,Mbula-Bwazza,mbul1260
Zaambo_Jarawan,Mbula-Bwazza,mbul1260
A44_Tunen,Tunen,tune1261
A45_Nyokon,Nyokon,nyok1243
A46_Nomaande,Nomaande,noma1260
A462_Yambeta,Yambeta,yamb1252
A601_Tuki,Tuki,tuki1240
A621_Nubaca,Nubaca,nuba1241
A622_Nugunu,Nugunu (Cameroon),nugu1242
A62A_Nuasue,Yangben,yang1293
A62A_Nukalonge,Yangben,yang1293
A62B_Mmala,Mmaala,mmaa1238
A62C_Libie,Elip,elip1238
A11_Londo,Oroko,orok1266
A121_Mbonge,Oroko,orok1266
A122_Bakundu,Oroko,orok1266
A141_Lefo,Bafaw-Balong,bafa1247
A15_Manenguba,Bassossi,bass1260
A151_Nkongho,Nkongho,nkon1247
A15A_Mbuu,Mbo (Cameroon),mboc1235
A15B_Mienge_NW_Manenguba,Bassossi,bass1260
A15C_Akossi,Akoose,akoo1248
A15C_Elung_Central_Manenguba,Akoose,akoo1248
A15C_Mkaa,Bakaka,baka1273
A22_Bakweri,Mokpwe,mokp1239
A24_Duala,Duala,dual1243
A27_Malimba,Malimba,mali1280
A32C_Batanga,Batanga,bata1285
A33a_Yasa,Yasa,yasa1242
A34_Benga,Benga,beng1282
A41_Barombi-Kang,Barombi,baro1252
A42_Abo,Bankon,bank1256
A43a_Basaa,Basa (Cameroon),basa1284
A63_Mangisa,Eton (Cameroon),eton1253
A71_Eton,Eton (Cameroon),eton1253
A72a_Ewondo,Ewondo,ewon1239
A74a_Bulu,Bulu (Cameroon),bulu1251
A75a_Fang_Bitam,Fang (Equatorial Guinea),fang1246
A75a_Fang_Medouneu,Fang (Equatorial Guinea),fang1246
A75a_Fang_Minvoul,Fang (Equatorial Guinea),fang1246
A803_Shiwa,Shiwa,shiw1234
A81_Kwasio,Kwasio,kwas1243
A83_Mekaa,Makaa,maka1304
A832_Bekol,Kol (Cameroon),kolc1235
A84_Njem,Njyem,njye1238
A841_Badwe,Koonzime,koon1245
A85b_Bekwil_Makokou,Bekwil,bekw1242
A85b_Bekwil_Mv,Bekwil,bekw1242
A86c_Mpiemo,Mpiemo,mpie1238
A87_Bomwali,Pomo,pomo1271
A91_Kwakum,Kwakum,kwak1266
A93_Kako,Kako,kako1242
B204_Ndambomo_Li,Ndambomo,ndam1254
B204_Ndambomo_Massoukou,Ndambomo,ndam1254
B204_Ndambomo_Mbadi,Ndambomo,ndam1254
B21_Seki,Seki,seki1238
B22a_Kele,K<U+0092><U+00A9>l<U+0092><U+00A9>,kele1257
B22b_Koya,Ngom,ngom1270
B22b_Ngom,Ngom,ngom1270
B22E_Mwesa,Mwesa,mwes1234
B23_Mbangwe,Mbangwe,mban1268
B251_Shake,Sake,sake1247
A61_Ngoro-Asom,Tuki,tuki1240
A61_Ngoro-Bisoo,Tuki,tuki1240
A61_Ngoro-lunda,Tuki,tuki1240
B11a_Mpongwe,Myene,myen1241
B11b_Orungu,Myene,myen1241
B11c_Galwa,Myene,myen1241
B11d_Dyumba,Myene,myen1241
B11F_Enenga,Myene,myen1241
B301_Viya,Viya,eviy1235
B302_Himba,Simba,simb1254
B304_Pinzi,Pinji,pinj1243
B305_Vove,Bubi,bubi1250
B31_Tsogo,Tsogo,tsog1243
B32_Kande,Kande,kand1300
B201_Ndasa,Ndasa,ndas1238
B203_Samaye,Osamayi,osam1235
B24_Wumbvu,Wumbvu,wumb1242
B25_Kota,Kota (Gabon),kota1274
B252_Mahongwe,Mahongwe,maho1248
B501_Wanzi_E,Wandji,wand1266
B501_Wanzi_Mo,Wandji,wand1266
B503_Vili,Vili of Ngounie,vili1239
B51_Duma,Duma,duma1253
B51_Duma_La,Duma,duma1253
B52_Nzebi,Njebi,njeb1242
B53_Tsaangi_Poungi,Tsaangi,tsaa1242
B601_Lempini,Ombamba,omba1241
B602_Kaningi_Nord,Kaningi,kani1279
B602_Kaningi_Sud,Kaningi,kani1279
B62_Mbaama,Ombamba,omba1241
B63_Ndumu,Ndumu,ndum1239
B701_Atsitsege,Tchitchege,tchi1245
B71a_Teke_Dj,Teke-Tege,teke1275
B71a_Teke_Os,Teke-Tege,teke1275
B71aIb_Teke_Ibali_Congo,Ibali Teke,ibal1241
B71aLe_Teke_Leconi,Teke-Tege,teke1275
B77b_Fumu,Teke-Fuumu,teke1274
B78_Wuumu,Teke-Fuumu,teke1274
B81_Tiene,Tiene,tien1242
B82_Buma,Boma,boma1246
B84_Mbunda,Mpuono,mpuo1241
B85_Yanzi,Yansi,yans1239
B85d_Nsongo,Songo,song1299
B85e_Mput,Yansi,yans1239
B86_Dinga,Ding,ding1239
B86_Dzing,Ding,ding1239
B861_Ngul,Ngul,ngul1247
B862_Lwel,Lwel,lwel1234
B863_Pindi,Songo,song1299
B864_Ngong,Ngongo (Democratic Republic of Congo),ngon1267
B865_Nzadi,Nzadi,nzad1234
B404_Ngubi,Ngubi,ngub1239
B41_Shira,Sira,sira1266
B42_Sangu_Mb,Sangu (Gabon),sang1333
B42_Sangu_Mi,Sangu (Gabon),sang1333
B43_Punu,Punu,punu1239
B44_Lumbu,Lumbu,lumb1249
H11_Beembe,Beembe,beem1239
H111_Hangala,Laari,laar1238
H12_Civili_Congo,Vili,vili1238
H13_Kikunyi_1989,Kunyi,kuny1238
H131_Kisundi_Congo_Kimongo_1988,Suundi,suun1239
H16_Cilinji,Yombe,yomb1244
H16_Cimbala,Yombe,yomb1244
H16_Cizobe,Yombe,yomb1244
H16_Kikongo,Koongo,koon1244
H16_Kimbata_Ngidinga,Koongo,koon1244
H16_Kimbeko,Koongo,koon1244
H16a_Kisikongo_2013,San Salvador Kongo,sans1272
H16a_Kisolongo_DRC_2012,Koongo,koon1244
H16b_Kindibu_2013,Koongo,koon1244
H16c_Kiyombe_DRC_1982,Yombe,yomb1244
H16c_Yombe,Yombe,yomb1244
