	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;DEVOICED:-	t̺s̺	t̠ʃ	2/2	1.0
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;DEVOICED:+	d̺̥z̺̥	d̥ʒ̥	2/2	1.0
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	t̺s̺ʼ	t̠ʃʼ	2/2	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	t̺s̺ʰ	t̠ʃʰ	2/2	1.0
	4/4	4/4
	1.0	1.0
