t̺s̺	t̠ʃ	2/2	1.0
d̺̥z̺̥	d̥ʒ̥	2/2	1.0
t̺s̺ʼ	t̠ʃʼ	2/2	1.0
t̺s̺ʰ	t̠ʃʰ	2/2	1.0
4/4	4/4
1.0	1.0
