	labiodental:0;lateral:+;strident:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	ɮ̺		1/2	0.03789021549387053
periodicGlottalSource:-		s̺	1/2	0.9119592765875343
	1/2	1/2
	0.09742515434805624	0.790762449231698
