b	d	ɟ	ɡ	ɡʷ	5/5	1.0
p	t	c	k	kʷ	5/5	1.0
ɸ	s		x		3/5	0.9340160574188786
3/3	3/3	2/3	3/3	2/3
1.0	1.0	0.8666613508683059	1.0	0.7681619933025845
