	labiodental:0;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;anterior:+;distributed:-;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	d̪z̪	d̠ʒ		2/3	0.975854118761556
periodicGlottalSource:-	t̪s̪	t̠ʃ	tsʲ	3/3	1.0
	2/2	2/2	1/2
	1.0	1.0	0.8643186599512827
