	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪	dz	d̠ʒ	ɖ	ɡ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	ʃ			2/6	0.5375866368233712
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪	ts	t̠ʃ	ʈ	k	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ	tsʰ	t̠ʃʰ	ʈʰ	kʰ	6/6	1.0
	3/4	3/4	4/4	4/4	3/4	3/4
	0.8411466124560619	0.8134428548603798	1.0	1.0	0.9799795241746977	0.8691442296063112
