	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪		ɡ	3/4	0.8568773313689779
periodicGlottalSource:+;category:fricative	v		z		2/4	0.6834725151960628
periodicGlottalSource:-;category:affricate|plosive		t̪	ts	k	3/4	0.7383772339434068
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s		2/4	0.7293892958199412
	3/4	2/4	3/4	2/4
	0.4975949480140107	0.821749155616402	0.8964392413959373	0.8231799477121992
