	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪		ɟʝ	ɡ	4/5	0.8569570014756817
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	ç		2/5	0.5699435842713632
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪	ts	cç	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ	tsʰ	cçʰ	kʰ	5/5	1.0
	3/4	3/4	3/4	4/4	3/4
	0.8411466124560619	0.8759016668937355	0.8866684863326008	1.0	0.867369699552435
