	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-		ɟʝ	1/2	0.05829801442978306
periodicGlottalSource:-;spreadGlottis:-	ts	cç	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+	tsʰ	cçʰ	2/2	1.0
	2/3	3/3
	0.7987807790618838	1.0
