	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;front:-;back:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;front:-;back:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:+;front:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0;distributed:+;low:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate|plosive	p	t̪|t	k	q	t̠ʃ	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	v		ɣ		ʝ	3/5	0.8562347187066587
	2/2	1/2	2/2	1/2	2/2
	1.0	0.9581592205906803	1.0	0.7097244209191417	1.0
