p	t̪|t	k	q	t̠ʃ	5/5	1.0
v		ɣ		ʝ	3/5	0.8562347187066587
2/2	1/2	2/2	1/2	2/2
1.0	0.9581592205906803	1.0	0.7097244209191417	1.0
