	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+			dʲ		1/4	0.005697926982317691
periodicGlottalSource:-	p	t		k	3/4	0.995307217462048
	1/2	1/2	1/2	1/2
	0.6469266840209866	0.6982137273139257	0.35390045075573595	0.7130277745962809
