	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+ | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	d̠ʒ	bʲ	dʲ	dzʲ	ɡ	ɡʲ	9/9	1.0
periodicGlottalSource:+;category:fricative	v		z	ʒ	vʲ		zʲ			5/9	0.6821932562851372
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ	pʲ	tʲ	tsʲ	k	kʲ	9/9	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ	fʲ		sʲ	x	xʲ	7/9	0.8973507516737652
	4/4	2/4	4/4	4/4	4/4	2/4	4/4	3/4	3/4
	1.0	0.9036894656578184	1.0	1.0	1.0	0.9072658771682904	1.0	0.9458984764575173	0.9574691982946859
