	labiodental:0;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;anterior:+;distributed:-;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	dz	d̠ʒ	dzʲ	3/3	1.0
periodicGlottalSource:-	ts	t̠ʃ	tsʲ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
