	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b			1/3	0.31743470582819916
periodicGlottalSource:-;spreadGlottis:-	p	t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	kʰ	3/3	1.0
	3/3	2/3	2/3
	1.0	0.7054593048417925	0.71950672905944
