	labial:+;coronal:-;strident:0;anterior:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v			1/3	0.37604210857601206
periodicGlottalSource:-		s	ʂ͇	2/3	0.7596052211474308
	1/2	1/2	1/2
	0.33745490270910106	0.7907593872920656	0.6300584517246175
