	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;high:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0;round:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0;round:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0;round:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0;round:0;distributed:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;back:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;high:+;back:-;round:0;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:+;back:-;round:0;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;high:+;back:-;round:0;distributed:+;low:-;front:+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:+;back:-;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:+;back:-;round:+ | labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;dorsal:+;high:+;back:-;round:+;distributed:+;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:-;dorsal:+;high:+;back:-;round:+;distributed:+;front:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0;round:+;distributed:+;low:0;front:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0;round:+;distributed:+;low:0;front:0 | labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:+ | labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;dorsal:+;high:-;back:+;round:+;distributed:+;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:-;dorsal:+;high:-;back:+;round:+;distributed:+;front:+ | labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:+;low:+;retractedTongueRoot:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:+;low:+;retractedTongueRoot:+ | labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;dorsal:+;high:-;back:+;round:+;distributed:+;front:+;low:+;retractedTongueRoot:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:-;dorsal:+;high:-;back:+;round:+;distributed:+;front:+;low:+;retractedTongueRoot:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t		k	kʷ	q	5/6	0.9438656618141489
periodicGlottalSource:+;category:fricative	v						1/6	0.21276078564367004
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s	ʂ͇				2/6	0.6970577881768601
	2/3	2/3	1/3	1/3	1/3	1/3
	0.7380436698507146	0.8542047404067222	0.05068176021897357	0.7322451789460019	0.5565849595921858	0.40241300275614367
