	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
spreadGlottis:-	p	t̪	k	3/3	1.0
spreadGlottis:+			kʰ	1/3	0.40494695792388197
	1/2	1/2	2/2
	0.8874692746427421	0.8908944325399992	1.0
