	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;high:0;back:0;lateral:-;distributed:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;high:+;back:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:+;back:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;high:+;back:-;distributed:+;low:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0;distributed:+;low:0;front:0	count	markedness_count
spreadGlottis:-;category:plosive	p	t̪		k	3/4	0.960668533818037
spreadGlottis:+;category:plosive | spreadGlottis:-,+;category:plosive				kʰ	1/4	0.32428291226874895
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s̪	χ	ʃ	4/4	1.0
	2/3	2/3	1/3	3/3
	0.9052829702091165	0.9319611912281613	0.294104631478172	1.0
