	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		sʼ				1/5	0.5590744175033936
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-		z				1/5	0.3948018438711917
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	f	s	ʃ	χ	χʷ	5/5	1.0
	1/3	3/3	1/3	1/3	1/3
	0.7461346156941219	1.0	0.7572655709754303	0.6942786053589727	0.8177029157692002
