	labial:+;coronal:-;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		tʼ	kʼ	kʷʼ			3/6	0.6515646024294185
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d	ɡ	ɡʷ			4/6	0.9811619662230788
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-		t	k	kʷ	q	qʷ	5/6	0.7468223533789329
	1/3	3/3	3/3	3/3	1/3	1/3
	0.3475091064556053	1.0	1.0	1.0	0.6313655068445534	0.5433026150687261
