	labial:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-,+;distributed:-,+;dorsal:-,+;front:+	labial:-;coronal:-;strident:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d	dʑ	ɡ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:+;category:affricate|plosive	b̤	d̤	d̤ʑ̤	ɡ̤	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s			1/4	0.6791348291207724
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	tɕ	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	tʰ		kʰ	3/4	0.985499523188195
	4/5	5/5	3/5	4/5
	0.8419662670981969	1.0	0.6308053756252712	0.878161613890733
