	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+	count	markedness_count
spreadGlottis:-;category:affricate|plosive	p	t	ts	ʈʂ	pʲ	k	tɕ	7/7	1.0
periodicGlottalSource:+;category:fricative				ʐ			ʑ	2/7	0.06257994817604927
spreadGlottis:+;category:plosive | spreadGlottis:+;category:affricate | spreadGlottis:-,+;category:plosive | spreadGlottis:-,+;category:affricate	pʰ	tʰ	tsʰ	ʈʂʰ	pʲʰ	kʰ	tɕʰ	7/7	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʂ		x	ɕ	5/7	0.8957592923983381
	3/4	2/4	3/4	4/4	2/4	3/4	4/4
	0.9244972249605904	0.9034423347639959	0.8953707592861052	1.0	0.6508688205846297	0.9506598419053781	1.0
