	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
spreadGlottis:-	p	t	pʲ	k	4/4	1.0
spreadGlottis:+	pʰ	tʰ	pʲʰ	kʰ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
