	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;front:0;lateral:-;distributed:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;front:+;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:plosive	b	d̪|d	-			2/4	0.6652724494933869
periodicGlottalSource:-;spreadGlottis:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪|t	-	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive	pʰ	t̪ʰ|tʰ	-	cʰ	kʰ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	θ	s̪|s			3/5	0.8037867775539472
	4/4	4/4	1/1	2/4	2/4
	1.0	1.0	1.0	0.468983682153046	0.6474755996427255
