	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;dorsal:+;front:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪|d			2/4	0.6652724494933869
periodicGlottalSource:-;spreadGlottis:-	p	t̪|t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ|tʰ	cʰ	kʰ	4/4	1.0
	3/3	3/3	2/3	2/3
	1.0	1.0	0.5423152531731095	0.7477985371653701
