	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɡ	ɢ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	kʰ		3/4	0.9184306815936126
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.3639584315723326
