	labial:+;coronal:-;anterior:0;dorsal:-;front:0 | labial:+;coronal:-;anterior:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:-;dorsal:-;front:0;strident:+;distributed:- | labial:-;coronal:+;anterior:-;dorsal:-;front:0;strident:+;distributed:+ | labial:-;coronal:+;anterior:-;dorsal:-;front:0;strident:-;lateral:-;distributed:-	labial:-;coronal:+;anterior:-;dorsal:+;front:+ | labial:-;coronal:+;anterior:+;dorsal:+;front:+;strident:+;distributed:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:plosive	b	d̪|d			2/4	0.6652724494933869
periodicGlottalSource:-;spreadGlottis:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪|t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive	pʰ	t̪ʰ|tʰ	cʰ	kʰ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			ç		1/4	0.02713523741257854
	3/4	3/4	3/4	2/4
	0.8409654914420828	0.6673531254866135	0.6042031335533107	0.6474755996427255
