	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;round:0;lateral:-	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:+ | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:+ | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;round:+;lateral:- | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;round:+;lateral:-	labial:+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:+;front:-;round:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	p	t	tʷ	kpr	kp	c	k	7/7	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	b	d		ɡbr	ɡb	ɟ	ɡ	6/7	0.9985148333108579
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	mb	nd		-	ŋmɡb	ɲɟ	ŋɡ	5/6	0.9974966769671821
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:plosive	ɓ	ɗ		-	-	ʄ		3/5	0.9196480843669423
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f	s		-	-			2/5	0.8027759890925483
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v	z		-	-			2/5	0.7533659694966044
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	ɱv	nz	-	-	-	-		2/3	0.9413595479238408
	7/7	7/7	1/6	2/2	3/3	4/6	3/7
	1.0	1.0	0.5363324312710209	1.0	1.0	0.8141043319363236	0.8123634793433945
