	labial:+;labiodental:-;coronal:-;high:0;low:0;front:0;back:0	labial:+;labiodental:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	v	z	3/3	1.0
periodicGlottalSource:-		f	s	2/3	0.9530863147694766
	1/2	2/2	2/2
	0.5479002076962644	1.0	1.0
