	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+		d	ɡb	ɡ	3/4	0.6905229599100431
periodicGlottalSource:-	p	t	kp	k	4/4	1.0
	1/2	2/2	2/2	2/2
	0.6469266840209866	1.0	1.0	1.0
