	labial:+;coronal:-;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;dorsal:-;high:0;back:0;round:0	labial:-,+;coronal:-;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	kʷʼ	qʼ	qʷʼ	5/5	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d	ɡʷ			3/5	0.7186834548994899
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	kʷ	q	qʷ	5/5	1.0
	3/3	3/3	3/3	2/3	2/3
	1.0	1.0	1.0	0.7448265617348947	0.929630956783447
