	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;round:0;retractedTongueRoot:- | labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;round:+;retractedTongueRoot:- | labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b		d		d̠ʒ	ɡʷ			4/8	0.7018097554689473
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:fricative							ʕʼ	ʕʷʼ	2/8	0.06757928152485286
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative							ʕ	ʕʷ	2/8	0.2236740917477229
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p		t	ts	t̠ʃ	kʷ	q	qʷ	7/8	0.9934891131529006
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:fricative		ɬ		s	ʃ	xʷ	χ	χʷ	6/8	0.7697089638815309
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate|plosive	pʼ		tʼ	tsʼ	t̠ʃʼ	kʷʼ	qʼ	qʷʼ	7/8	0.9736926327419017
	3/6	1/6	3/6	3/6	4/6	4/6	5/6	5/6
	0.7749126651042051	0.5315839930173419	0.9394149352290663	0.7935422662482935	0.9195067854160256	0.9754738211490676	0.7922435282864528	0.9664492533558267
