	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;strident:+;low:0;front:0	count	markedness_count
periodicGlottalSource:+	v	z	ʁ	ɣ	4/4	1.0
periodicGlottalSource:-	f	s	χ	ʃ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
