	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0;anterior:+;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;round:0;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;round:0;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;round:0;anterior:-;distributed:+;high:+;low:-;front:+;back:-	labial:-,+;labiodental:-;coronal:-;strident:0;dorsal:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;dorsal:+;round:+ | labial:-,+;labiodental:-;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,+;labiodental:-;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	ɡ		3/4	0.9783005123977417
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	k	kʷ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s			2/4	0.8482942022438186
	3/3	3/3	2/3	1/3
	1.0	1.0	0.8666930494111134	0.6311478029109631
