	labial:+;coronal:-;strident:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	ð	2/2	1.0
periodicGlottalSource:-		s	1/2	0.8137770462115979
	1/2	2/2
	0.33745490270910106	1.0
