	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;anterior:+;distributed:-,+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:-;lateral:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;strident:+	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
spreadGlottis:-;category:plosive	p	t̻	t	c	k	5/5	1.0
spreadGlottis:+;category:plosive | spreadGlottis:-,+;category:plosive	pʰ	t̻ʰ	tʰ	cʰ	kʰ	5/5	1.0
periodicGlottalSource:+;category:fricative		ð			ɣ	2/5	0.4477599238350501
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f					1/5	0.18270943294221703
	3/4	3/4	2/4	2/4	3/4
	0.9244182831820276	0.6191079736485837	0.6431317257044736	0.8150777848034033	0.8734355608397681
