	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+		ð	ɣ	2/3	0.7299654651014428
periodicGlottalSource:-	f			1/3	0.17985574262232557
	1/2	1/2	1/2
	0.6625210710769323	0.2096927803337167	0.29522793278914716
