	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;back:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;high:0;back:0;lateral:-;distributed:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;high:+;back:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:+;back:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;high:+;back:-;distributed:+;low:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0;distributed:+;low:0;front:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̪		ɡ	3/4	0.9817286003761456
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪		k	3/4	0.9442959088762922
periodicGlottalSource:+;category:fricative	v	z̻	ʁ	ʒ	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̻		ʃ	3/4	0.9573454751190914
	4/4	4/4	1/4	4/4
	1.0	1.0	0.11430738614244451	1.0
