	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
spreadGlottis:-	p	t		2/3	0.6383455175812977
spreadGlottis:+	pʰ	tʰ	kʰ	3/3	1.0
	2/2	2/2	1/2
	1.0	1.0	0.12995976327317393
