	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+	count	markedness_count
spreadGlottis:-;category:plosive	p	t		2/3	0.6383455175812977
spreadGlottis:-;category:affricate	pf	ts		2/3	0.9711542136726602
periodicGlottalSource:+;category:fricative	v			1/3	0.19071668550263235
spreadGlottis:+;category:plosive | spreadGlottis:-,+;category:plosive	pʰ	tʰ	kʰ	3/3	1.0
spreadGlottis:+;category:affricate | spreadGlottis:-,+;category:affricate | spreadGlottis:+,-,+;category:affricate | spreadGlottis:-,-,+;periodicGlottalSource:+,-,-;sonorant:+,-,-;nasal:+,-,-;category:affricate	pfʰ	tsʰ		2/3	0.9755805289448413
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s		2/3	0.8727211838529629
	6/6	5/6	1/6
	1.0	0.9245975701417788	0.10356620255988265
