	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	labial:-;coronal:+;dorsal:+;high:-;back:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	p	t̺	k	q	q̺	5/5	1.0
constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̺ʼ	kʼ		-	3/4	0.8778254651278281
	2/2	2/2	2/2	1/2	1/1
	1.0	1.0	1.0	0.7532558236659106	1.0
