	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	β	z̺	ɣ		3/4	0.9186919346418567
periodicGlottalSource:-	ɸ	s̺	x	χ	4/4	1.0
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.6958683155352414
