	labial:+;coronal:-;strident:0;anterior:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪|d	d̪z̪|dz	d̠ʒ	ɡ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s̪|s	ʃ		2/5	0.5499706059893547
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪|t	t̪s̪|ts	t̠ʃ	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ|tʰ		t̠ʃʰ	kʰ	4/5	0.9097858427841895
	3/4	3/4	3/4	4/4	3/4
	0.8411466124560619	0.9500002136324452	0.9291601022850496	1.0	0.8691442296063112
