	labiodental:0;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	d̪z̪|dz	d̠ʒ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-	t̪s̪|ts	t̠ʃ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+		t̠ʃʰ	1/2	0.5539651757672875
	2/3	3/3
	0.8420678278042307	1.0
