	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		t̪ʼ				1/5	0.07537333426785275
periodicGlottalSource:+;constrictedGlottis:+;raisedLarynxEjective:-	p̰		t̰	c̰	k̰	4/5	0.9988914235696595
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t̪	t	c	k	5/5	1.0
	2/3	2/3	2/3	2/3	2/3
	0.8943058102429361	0.9998889613146763	0.8904751754681013	0.8963106622528692	0.8436459198662212
