	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+	s̰	-	1/1	1.0
periodicGlottalSource:-;constrictedGlottis:-	s	ç	2/2	1.0
	2/2	1/1
	1.0	1.0
