	t̪ʼ				1/5	0.07537333426785275
p̰		t̰	c̰	k̰	4/5	0.9988914235696595
p	t̪	t	c	k	5/5	1.0
2/3	2/3	2/3	2/3	2/3
0.8943058102429361	0.9998889613146763	0.8904751754681013	0.8963106622528692	0.8436459198662212
