	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:-,+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;lateral:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive			t̪ʼ			1/5	0.07537333426785275
periodicGlottalSource:+;constrictedGlottis:+;raisedLarynxEjective:-;category:plosive	p̰	t̰		c̰	k̰	4/5	0.9988914235696595
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;spreadGlottis:-;loweredLarynxImplosive:+;category:plosive | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	t̪	c	k	5/5	1.0
periodicGlottalSource:+;constrictedGlottis:+;category:fricative		-	s̰	-		1/3	0.8412872975890981
periodicGlottalSource:-;constrictedGlottis:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;sonorant:+,-;nasal:+,-;category:fricative			s	ç		2/5	0.603000229727932
	2/5	2/4	4/5	3/4	2/5
	0.701689783903006	0.8295621099738494	0.999963919353138	0.9173193643386277	0.7004471387576177
