	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v	z	ɣ	3/3	1.0
periodicGlottalSource:-	f	s	ʃ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
