	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	ð		z			3/6	0.6122897115241556
periodicGlottalSource:-	f	θ	ɬ	s	ʃ	χ	6/6	1.0
	2/2	2/2	1/2	2/2	1/2	1/2
	1.0	1.0	0.9048884957099266	1.0	0.784333365145307	0.7044347480298516
