	labiodental:0;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+		d̠ʒ	1/2	0.6414806100974167
periodicGlottalSource:-	t̪s̪	t̠ʃ	2/2	1.0
	1/2	2/2
	0.8284754134830924	1.0
