	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z̪			2/4	0.5955881087382058
periodicGlottalSource:-	f	s̪	ʃ	χ	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.7723823163067765	0.7044347480298516
