	labial:+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;distributed:+;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;distributed:-;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	ɮ̪	z	ɣ	4/4	1.0
periodicGlottalSource:-	f	ɬ̪	s	x	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
