	labial:+;labiodental:-;coronal:-;dorsal:-	labial:+;labiodental:+;coronal:-;dorsal:-	labial:-;labiodental:0;coronal:+;dorsal:-	labial:-;labiodental:0;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+		v	z	ɣ	3/4	0.8602321102305462
periodicGlottalSource:-	ɸ	f	s	x	4/4	1.0
	1/2	2/2	2/2	2/2
	0.45209979230373554	1.0	1.0	1.0
