	labiodental:0;distributed:-;dorsal:-;round:0	labiodental:0;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	z	ʑ	2/2	1.0
periodicGlottalSource:-	s	ɕ	2/2	1.0
	2/2	2/2
	1.0	1.0
