	d̠ʒ		1/3	0.40641099078035337
β			1/3	0.27338423696899294
p	t	k	3/3	1.0
ɸ	s		2/3	0.8018677361309872
pʰ	tʰ	kʰ	3/3	1.0
4/5	4/5	2/5
0.7298260902094459	0.9376671079150036	0.5929679617370176
