	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive		d̠ʒ		1/3	0.40641099078035337
periodicGlottalSource:+;category:fricative	β			1/3	0.27338423696899294
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	k	3/3	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɸ	s		2/3	0.8018677361309872
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	tʰ	kʰ	3/3	1.0
	4/5	4/5	2/5
	0.7298260902094459	0.9376671079150036	0.5929679617370176
