	labial:+;coronal:-;strident:0;dorsal:-	labial:-;coronal:+;strident:-;dorsal:-	labial:-;coronal:+;strident:+;dorsal:-	labial:-;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz		3/4	0.6982848973960563
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s		1/4	0.5481265971825239
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	k	4/4	1.0
	2/3	2/3	3/3	1/3
	0.8421922259973105	0.9486623782551034	1.0	0.6226454164153349
